Environment,EncodeDim,UseCovLoss,UseControlLoss,WeightedError,NormalizedCovLoss
LogisticMap,4,1,0,0.023300388577923537,3.223024846972327e-05
LogisticMap,4,0,0,0.023210680669781623,0.0016243084202020497
LogisticMap,16,1,0,0.013587183479711478,3.632503419155923e-05
LogisticMap,16,0,0,0.013307325885205027,0.0037124011724230903
LogisticMap,64,1,0,0.011434004141943123,3.6472068791448394e-05
LogisticMap,64,0,0,0.010877186838229974,0.012578043626339335
LogisticMap,256,1,0,0.009213993962044715,0.0002351633709356452
LogisticMap,256,0,0,0.008735161410127782,0.14221541641533858
LogisticMap,1024,1,0,0.00796383665475575,2.863037219011658e-05
LogisticMap,1024,0,0,0.007464417618937571,0.00010308956477325217
DampingPendulum,4,1,1,0.018868356717836543,4.3489695504581956e-05
DampingPendulum,4,0,1,0.02326817026974727,291.0109569691901
DampingPendulum,4,1,0,0.014353667327535256,1.9361173810615846e-05
DampingPendulum,4,0,0,0.013147465213963401,2036.3583899210985
DampingPendulum,16,1,1,0.00988069444073346,0.00029245858061632926
DampingPendulum,16,0,1,0.009294313643251551,110.93503299938847
DampingPendulum,16,1,0,0.008847854541460965,0.00012876310018175666
DampingPendulum,16,0,0,0.008578003104602081,1087.0260366072089
DampingPendulum,64,1,1,0.008855921674784053,0.0007851289350136353
DampingPendulum,64,0,1,0.008921356819364993,26.443715576908886
DampingPendulum,64,1,0,0.008614239559947395,0.00043576453093780424
DampingPendulum,64,0,0,0.008521905175222931,694.998541107732
DampingPendulum,256,1,1,0.008791613466395386,0.002290334431076814
DampingPendulum,256,0,1,0.0087140227199731,1.9928100129497135
DampingPendulum,256,1,0,0.008630511745400273,0.0017753390632353134
DampingPendulum,256,0,0,0.008547195079684619,70.41418170567427
DampingPendulum,1024,1,1,0.008646986390520249,0.0007684594905525207
DampingPendulum,1024,0,1,0.008614301342397754,0.34634083065165516
DampingPendulum,1024,1,0,0.008524193863693498,0.0006161151047263843
DampingPendulum,1024,0,0,0.00848532354619759,42.181035565926415
Franka,4,1,1,0.0001615150383192908,5.512934757874868e-07
Franka,4,0,1,0.00016108345903353296,5.396867305939213e-05
Franka,4,1,0,0.0002535544583058459,1.1959142761343923e-06
Franka,4,0,0,0.00024977642128289746,6.176756538079125e-05
Franka,16,1,1,9.216045064836673e-06,1.89597853188574e-06
Franka,16,0,1,8.04493489956849e-06,0.0006302051778556351
Franka,16,1,0,9.865644782951138e-06,2.459206898570675e-06
Franka,16,0,0,9.187153232744078e-06,5.73854772720652e-05
Franka,64,1,1,3.4212651629231065e-08,5.605674494655697e-07
Franka,64,0,1,2.8152113585394964e-08,4.5873844076678716e-05
Franka,64,1,0,2.807596975594612e-08,5.42429131673792e-07
Franka,64,0,0,2.6518237910253153e-08,8.016233436128562e-05
Franka,256,1,1,2.740003899312319e-08,4.203178562131952e-07
Franka,256,0,1,3.2192848860300415e-08,4.237504651103742e-05
Franka,256,1,0,2.6835227633706493e-08,4.238622478242273e-07
Franka,256,0,0,3.539051818813917e-08,7.968685940521647e-05
Franka,1024,1,1,2.2741731216016506e-08,8.276784829651232e-08
Franka,1024,0,1,2.593410455243544e-08,4.568022376482703e-06
Franka,1024,1,0,2.3696063034665213e-08,8.339822073038561e-08
Franka,1024,0,0,2.7032352556600854e-08,1.2135186117478918e-05
DoublePendulum,4,1,1,0.0265894746616862,9.232078551406397e-05
DoublePendulum,4,0,1,0.027040498653463054,0.10542479377701261
DoublePendulum,4,1,0,0.020000546653230537,6.939355476945589e-06
DoublePendulum,4,0,0,0.019530488597297464,10.947913052252488
DoublePendulum,16,1,1,0.017541805280731196,0.00013346887152887338
DoublePendulum,16,0,1,0.017477495889132874,0.013260254536588615
DoublePendulum,16,1,0,0.01725568246348496,2.437177578588043e-05
DoublePendulum,16,0,0,0.017244011110333888,0.11447679426965188
DoublePendulum,64,1,1,0.017265447137914763,0.0001807874944857406
DoublePendulum,64,0,1,0.017278304888669896,0.008838528914799589
DoublePendulum,64,1,0,0.01713506770370989,7.356099560381852e-05
DoublePendulum,64,0,0,0.017121863859323423,0.2981745936512425
DoublePendulum,256,1,1,0.01720156366045466,0.0003859448775775866
DoublePendulum,256,0,1,0.0172268822186546,0.0025214720121562277
DoublePendulum,256,1,0,0.017134882195041383,7.698409067492795e-05
DoublePendulum,256,0,0,0.017133488381314087,0.15009218476506703
DoublePendulum,1024,1,1,0.017175510149063728,5.278031270101506e-05
DoublePendulum,1024,0,1,0.0171857091758942,0.00032162630993474225
DoublePendulum,1024,1,0,0.01714482395226123,4.143812937706171e-05
DoublePendulum,1024,0,0,0.017133886608635466,0.027777188020840525
Polynomial,4,1,0,0.012598682418649422,4.7762960538151616e-05
Polynomial,4,0,0,0.0009415319370416433,249.81881018450034
Polynomial,16,1,0,0.0016824874888434725,0.00014011986059660745
Polynomial,16,0,0,0.00039388685250854025,54.340865275482535
Polynomial,64,1,0,0.0006062721429642905,0.00020664600443766418
Polynomial,64,0,0,0.0003785974992348829,7.431984903096843
Polynomial,256,1,0,0.00036078550705923956,0.0008729871340299755
Polynomial,256,0,0,0.000357648597935305,0.3816622278976406
Polynomial,1024,1,0,0.0002919980160961084,0.00022679319392872983
Polynomial,1024,0,0,0.00038421394696097557,0.02374442655531537
G1,4,1,1,0.6700900497558345,0.00016554730068972948
G1,4,0,1,0.6844375592915911,418683.4706591352
G1,4,1,0,0.5996188020746306,3.1915059886564486e-05
G1,4,0,0,0.6263806373681702,584456.4616821479
G1,16,1,1,0.5604868530376896,0.0006747921486932847
G1,16,0,1,0.5991376865950799,23731.50122280734
G1,16,1,0,0.5392093228037237,0.00041774823487068547
G1,16,0,0,0.5785406445038292,26986.11151556136
G1,64,1,1,0.49170445689808523,0.0015097833056619081
G1,64,0,1,0.5132960653157806,422.3615812096207
G1,64,1,0,0.4899603516769205,0.0010068632801818816
G1,64,0,0,0.5088274197276587,565.7213077682507
G1,256,1,1,0.46581733724187535,0.0020491366757402203
G1,256,0,1,0.4909575073733273,22.53949525255565
G1,256,1,0,0.4682132807209504,0.0014190428577184207
G1,256,0,0,0.49163137861780604,35.38937834583473
G1,1024,1,1,0.449671761108403,0.0035684224795121647
G1,1024,0,1,0.4643192671979835,2.904286401010408
G1,1024,1,0,0.45390006751232503,0.003525993622908889
G1,1024,0,0,0.47333332775643355,3.9798454050228087
Go2,4,1,1,2.3200585925348443,0.0007370976111759726
Go2,4,0,1,2.433895445652451,479810.83022675524
Go2,4,1,0,1.9850498034001933,8.864348905336422e-05
Go2,4,0,0,2.096704468747238,336939.38090944086
Go2,16,1,1,1.8574945380992642,0.0017089034763074712
Go2,16,0,1,1.9216962596424212,40440.613805950125
