Environment,EncodeDim,WeightedError (CovReg off),WeightedError (CovReg on),Diff_WeightedError,NormCovLoss (CovReg off),NormCovLoss (CovReg on),Diff_NormCovLoss
LogisticMap,4,0.00011206553063474245,0.00011021765989670628,1.8478707380361692e-06,1.8699122446501306,0.006290053268308082,1.8636221913818225
LogisticMap,16,6.4005269729566915e-06,5.982365381183918e-06,4.1816159177277334e-07,0.06480962945682917,0.006179828952129307,0.05862980050469986
LogisticMap,64,2.1676577558035487e-07,2.0443523554140964e-07,1.233054003894523e-08,0.00658392511229683,0.0010634952748644632,0.005520429837432367
LogisticMap,256,3.478459600574128e-08,3.074733490291306e-08,4.037261102828224e-09,0.0016664972178846425,0.0005233890461405059,0.0011431081717441366
LogisticMap,1024,1.242799706511254e-08,1.348381790928345e-08,-1.0558208441709091e-09,0.008587287318727802,5.095351763343175e-05,0.00853633380109437
DampingPendulum,4,0.0005290432937205651,0.0004246483472699968,0.00010439494645056831,0.38678113687931825,4.264933993744045e-06,0.3867768719453245
DampingPendulum,16,0.0001858337361347684,0.000186373636240313,-5.399001055445994e-07,0.03356380323847452,1.2306046093331135e-05,0.03355149719238119
DampingPendulum,64,0.00014165194930631215,0.0001419350061061966,-2.8305679988444086e-07,0.012463536588546107,2.0728840358104405e-05,0.012442807748188003
DampingPendulum,256,0.0001372060028489083,0.00013748232294532518,-2.7632009641688363e-07,0.0028867210243510868,1.057315951923341e-05,0.002876147864831853
DampingPendulum,1024,0.00013677210312373325,0.0001369516862852565,-1.79583161523248e-07,0.008532673209241106,9.073258133253423e-06,0.008523599951107854
Kinova,4,0.7912202308007971,0.7902711451620459,0.0009490856387511792,0.09062541206896005,7.845615120005715e-06,0.09061756645384005
Kinova,16,0.5461400132077712,0.5444456217724283,0.0016943914353428902,0.05980860756662179,0.0004774974527615975,0.05933111011386019
Kinova,64,0.10164139740767639,0.10014307474842699,0.0014983226592494014,0.007799428618920539,0.00037515539915201733,0.007424273219768521
Kinova,256,0.003095755277514103,0.0030111263030497127,8.462897446439004e-05,0.0008867675276753252,7.743065947631544e-05,0.0008093368681990098
Kinova,1024,0.0006337783099432678,0.0006090924994749315,2.4685810468336308e-05,0.00027193461607367974,2.0826025206852634e-05,0.0002511085908668271
DoublePendulum,4,0.06313642482696061,0.054668545061323355,0.008467879765637253,0.541554049755012,0.0007347123718523215,0.5408193373831597
DoublePendulum,16,0.009674390787549276,0.00841470090244401,0.0012596898851052647,0.09722512024502139,9.06339508081657e-05,0.09713448629421323
DoublePendulum,64,0.0016026788655789828,0.0015255780956987379,7.710076988024493e-05,0.007248285719191771,4.3568684846910945e-05,0.0072047170343448605
DoublePendulum,256,0.0004031125155639888,0.00039572906223662795,7.383453327360859e-06,0.0013345379310218948,2.0985862853183946e-05,0.0013135520681687109
DoublePendulum,1024,0.0003045671846176024,0.000304929209411798,-3.6202479419562145e-07,0.003988551609070956,1.610157551399164e-05,0.003972450033556964
Polynomial,4,0.005557235991929771,0.004425867407090269,0.0011313685848395021,0.16473585774550328,0.00020108254378502474,0.16453477520171825
Polynomial,16,0.00030936718748496013,0.0001993604500295255,0.00011000673745543464,0.25153489739120416,0.00016107314928928668,0.2513738242419149
Polynomial,64,6.579732745378419e-05,4.402753569127912e-05,2.1769791762505068e-05,0.006908918239088656,7.306421204859871e-05,0.006835854027040057
Polynomial,256,2.795373704804826e-05,2.2346449480545373e-05,5.607287567502887e-06,0.00516299053550288,4.424454166541607e-05,0.005118745993837464
Polynomial,1024,1.0055121280173292e-05,8.076882123336435e-06,1.978239156836857e-06,0.0026984868431319748,1.1934554880266192e-05,0.0026865522882517086
G1,4,0.09868800121072975,0.09788009926258821,0.0008079019481415373,0.1344963436057257,2.473093184922189e-06,0.13449387051254078
G1,16,0.08984788876556246,0.08735356634960056,0.002494322415961897,0.03978379140527935,2.3342656649747887e-05,0.0397604487486296
G1,64,0.08009781019411813,0.07853754393560877,0.0015602662585093574,0.0059685437858545,6.590285740473805e-05,0.005902640928449762
G1,256,0.06801599729640995,0.06750779542016791,0.000508201876242037,0.0009593722667074727,6.600635442115329e-05,0.0008933659122863194
G1,1024,0.06162998396098235,0.061571240381180246,5.874357980210215e-05,0.00011577897390511385,2.9622806407656317e-05,8.615616749745753e-05
Go2,4,0.19484503237676382,0.1928136721626008,0.0020313602141630027,0.09347845546176659,2.0092350567383814e-06,0.09347644622670985
Go2,16,0.1875823989795847,0.18564129480740205,0.001941104172182656,0.03512621869863008,2.3718519618076925e-05,0.035102500179012
Go2,64,0.17604659515531548,0.1751785836754798,0.0008680114798356731,0.003941684619145703,9.457362978523032e-05,0.0038471109893604724
Go2,256,0.16198732574094316,0.16154526907852726,0.00044205666241589614,0.00025029541715937404,4.6372924918765406e-05,0.00020392249224060862
Go2,1024,0.15323918925060329,0.15329386554095867,-5.467629035538213e-05,1.5637699764720842e-05,9.49835984066747e-06,6.139339924053371e-06
