Environment,Variable,A,alpha,C,R2
DampingPendulum,TrainSamples,4.82935039687456,0.9426374852941134,0.008890018557207452,0.9182719889774458
Franka,TrainSamples,2.8722131593161492e-08,0.02194255684460737,3.0999075402186036e-10,0.6679845684379628
DoublePendulum,TrainSamples,50.388316065336674,1.2876745337046427,0.016634121702802908,0.9975904815185951
Kinova,TrainSamples,29.229972624389916,1.2019422211142485,0.005370928154261588,0.9987666481128381
G1,TrainSamples,17.600369995371867,0.6896354115465847,0.12837191967329964,0.9988513840433931
Go2,TrainSamples,54.502312179557634,0.8497422280795887,0.2056220464331577,0.9965787473082947
DampingPendulum,EncodeDim,1502.1331531983244,6.780876242054891,0.009754518448073884,0.7563891111717695
Franka,EncodeDim,143967976598.09662,10.770545821218375,2.593068520997142e-08,0.9316321759016374
DoublePendulum,EncodeDim,0.025872406180287175,1.86460237391832,0.01666530342641324,0.6622477810423579
Kinova,EncodeDim,272.4178824833382,1.9262539367872247,3.444983861159182e-24,0.7940952664961365
G1,EncodeDim,1.9062310718932665,0.9939377130986204,0.13208670402245404,0.9968849336580562
Go2,EncodeDim,7.205754156925584,1.3817175848419734,0.20712131980590123,0.9978094553175575
