Environment,EncodeDim,WeightedError (CovReg off),WeightedError (CovReg on),Diff_WeightedError,NormCovLoss (CovReg off),NormCovLoss (CovReg on),Diff_NormCovLoss
LogisticMap,4,0.40165596953466776,0.4057310858086537,-0.004075116273985935,0.0887323384092587,0.00021099303838396742,0.08852134537087473
LogisticMap,16,0.40049756150619287,0.4006978287245147,-0.0002002672183218368,0.07038269076317549,2.7025749993784335e-05,0.0703556650131817
LogisticMap,64,0.4008449858296453,0.3996393622433198,0.0012056235863254772,0.016336240211071506,1.6427585353479162e-05,0.016319812625718026
LogisticMap,256,0.39927580674734553,0.39952368543415345,-0.000247878686807923,0.00048641282211042984,1.7417479980598076e-05,0.0004689953421298318
LogisticMap,1024,0.4154341470904293,0.4094084038652451,0.0060257432251842324,0.0034244643173429656,0.002094844062104135,0.0013296202552388306
DampingPendulum,4,0.013460634029744425,0.010952905643839599,0.002507728385904826,0.058928223616205706,1.0997768902599776e-05,0.058917225847303106
DampingPendulum,16,0.0011651749826707078,0.0010694523042964065,9.57226783743013e-05,0.08841165846201217,3.346164199132286e-05,0.08837819682002085
DampingPendulum,64,0.0005183675295601053,0.0005166797222619614,1.6878072981439153e-06,0.005971678468631734,2.7945787834445025e-05,0.005943732680797289
DampingPendulum,256,0.0004965909335080597,0.0004980646996772775,-1.4737661692177956e-06,0.0021386722346496433,2.4008478589895664e-05,0.0021146637560597475
DampingPendulum,1024,0.0004949383688343174,0.0004972408127115956,-2.3024438772782825e-06,0.010010525029010323,1.806959281138168e-05,0.00999245543619894
Franka,4,2.4041747280978432e-05,2.3827724557898015e-05,2.1402272308041766e-07,0.41713479675197357,6.643734251263248e-08,0.41713473031463105
Franka,16,9.4995931652533e-06,9.487292269988843e-06,1.2300895264456645e-08,0.03833493151730577,6.603045125397643e-07,0.03833427121279323
Franka,64,9.470844861560692e-06,9.505991301264441e-06,-3.5146439703749165e-08,0.004017326553242816,3.832179674806772e-06,0.004013494373568009
Franka,256,8.847711998404427e-06,8.639787847776176e-06,2.07924150628251e-07,0.0003965729011223322,5.703413295153579e-06,0.0003908694878271786
Franka,1024,8.999512037717801e-06,8.698120387768838e-06,3.013916499489639e-07,8.208713261349794e-05,3.2412179890364164e-06,7.884591462446153e-05
DoublePendulum,4,0.08159913472080889,0.06471394636537825,0.01688518835543064,0.4244034608980231,0.0004623503935047501,0.4239411105045184
DoublePendulum,16,0.009372336286991752,0.00793257876622364,0.0014397575207681125,0.11817854244933695,0.00010955288600314571,0.11806898956333381
DoublePendulum,64,0.0015608940585708506,0.001478789282161305,8.210477640954554e-05,0.007791275107289852,4.298363805240347e-05,0.007748291469237448
DoublePendulum,256,0.00040088799697433425,0.00039330695541333753,7.581041560996717e-06,0.0012038740320577444,2.0487686838663674e-05,0.0011833863452190808
DoublePendulum,1024,0.0003047577507724052,0.0003051626619699166,-4.04911197511397e-07,0.003925226017710309,1.604531615544536e-05,0.003909180701554864
Polynomial,4,0.004269725440111516,0.004497531434761053,-0.00022780599464953654,0.043403196930517494,0.00018985717222245113,0.04321333975829504
Polynomial,16,0.0002540768188199895,0.00012325163987243737,0.00013082517894755214,0.39901604887738196,0.00013150211904820584,0.39888454675833374
Polynomial,64,6.34340492407933e-05,3.78872511299251e-05,2.5546798110868202e-05,0.006807447441821001,6.915222597235422e-05,0.006738295215848647
Polynomial,256,2.976149631698908e-05,2.049453647103925e-05,9.266959845949828e-06,0.005635077672181658,4.4276445499675596e-05,0.0055908012266819825
Polynomial,1024,1.0653309364055884e-05,7.56441649240077e-06,3.0888928716551133e-06,0.0027870548435751617,2.4911234228969664e-05,0.002762143609346192
G1,4,0.09858198360255828,0.09794633820354483,0.0006356453990134514,0.09086352915834504,1.9269457999515813e-06,0.09086160221254509
G1,16,0.08965393763139691,0.08758485074520922,0.0020690868861876904,0.04311307872479988,2.3836743536278222e-05,0.0430892419812636
G1,64,0.08004721281124613,0.07861988222590328,0.001427330585342848,0.0057882179551127545,6.552145966938739e-05,0.005722696495443367
G1,256,0.06799706256150519,0.06747395038493607,0.0005231121765691127,0.0009763710115914259,6.622247882676208e-05,0.0009101485327646638
G1,1024,0.06173318470695652,0.061650100513701234,8.308419325528393e-05,0.00011674820237713147,2.9908631682935725e-05,8.683957069419574e-05
Go2,4,0.19494349179998127,0.19269031072170625,0.0022531810782750183,0.10331763158154428,3.054786000351416e-06,0.10331457679554393
Go2,16,0.18762808124056596,0.18577368936105204,0.001854391879513917,0.03719676294402369,2.5522827236790835e-05,0.037171240116786894
Go2,64,0.17602443203461254,0.17511543133442722,0.0009090007001853195,0.0037110759133245834,9.28324819751599e-05,0.0036182434313494233
Go2,256,0.1619923767501701,0.16159461669775918,0.00039776005241090595,0.00024880851908299327,4.623051360979638e-05,0.0002025780054731969
Go2,1024,0.15327716725442975,0.15326829147757884,8.875776850908457e-06,1.570832536718014e-05,9.556619302992333e-06,6.151706064187808e-06
